Letter,TP,TN,FP,FN,Accuracy,Precision,Recall,F1
ጋ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ዛ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዚ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጬ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጭ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጪ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጫ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዝ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዜ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጦ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጧ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ዑ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጥ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጢ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ዖ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዕ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዔ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ዋ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጆ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ዉ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ወ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጺ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ዎ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ጸ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዌ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጶ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጼ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
